index	sample	cluster	step	(annotation) subject	(annotation) pident	(annotation) qlen	(annotation) slen	(annotation) length	(annotation) mismatch	(annotation) gapopen	(annotation) qstart	(annotation) qend	(annotation) sstart	(annotation) send	(annotation) evalue	(annotation) bitscore	(annotation) name	(annotation) level	(annotation) typing	(annotation) species	(annotation) taxid	(annotation) acronym	(annotation) acid	(annotation) circular	(annotation) segment	(annotation) host	(annotation) % contig aligned	(blast) subject	(blast) subject title	(blast) pident	(blast) qlen	(blast) slen	(blast) length	(blast) mismatch	(blast) gapopen	(blast) qstart	(blast) qend	(blast) sstart	(blast) send	(blast) evalue	(blast) bitscore	(checkv) contig_length	(checkv) provirus	(checkv) gene_count	(checkv) viral_genes	(checkv) host_genes	(checkv) checkv_quality	(checkv) miuvig_quality	(checkv) completeness	(checkv) completeness_method	(checkv) contamination	(checkv) kmer_freq	(cluster) centroid	(cluster) number of members	(cluster) cumulative read depth - spades [%]	(cluster) cumulative read depth - megahit [%]	(cluster) cumulative read depth - trinity [%]	(cluster) members	(quast) # N's	(quast) % N's	(quast) # N's per 100 kbp	(samtools Raw) total length	(samtools Raw) average length	(samtools Raw) average quality	(samtools Raw) error rate	(samtools Raw) mismatches	(samtools Raw) reads MQ0	(samtools Raw) reads mapped (R1+R2)	(samtools Raw) reads mapped %	(samtools Raw) reads unmapped (R1+R2)	(samtools Raw) reads unmapped %	(samtools Raw) reads QC failed	(samtools Raw) reads QC failed %	(samtools Raw) reads paired	(samtools Raw) reads paired %	(samtools Raw) reads properly paired	(samtools Raw) reads properly paired %	(samtools Raw) reads duplicated	(samtools Raw) reads duplicated %	(samtools Raw) non primary alignments	(samtools Raw) supplementary alignments	(samtools Raw) outward oriented pairs	(samtools Raw) inward oriented pairs	(samtools Raw) insert size average	(samtools Raw) insert size standard deviation	(samtools Raw) bases mapped	(samtools Raw) bases mapped cigar	(samtools Raw) bases trimmed	(samtools Raw) bases duplicated	(umitools) mapped reads (R1,R2)	(umitools) removed reads (R1,R2)	(umitools) deduplicated reads (R1,R2)	(umitools) positions deduplicated	(umitools) max UMI per position	(umitools) mean UMI per position	(umitools) total UMIs	(umitools) % passing	(umitools) unique UMIs	(samtools Post-dedup) total length	(samtools Post-dedup) average length	(samtools Post-dedup) average quality	(samtools Post-dedup) error rate	(samtools Post-dedup) mismatches	(samtools Post-dedup) reads MQ0	(samtools Post-dedup) reads mapped (R1+R2)	(samtools Post-dedup) reads mapped %	(samtools Post-dedup) reads unmapped (R1+R2)	(samtools Post-dedup) reads unmapped %	(samtools Post-dedup) reads QC failed	(samtools Post-dedup) reads QC failed %	(samtools Post-dedup) reads paired	(samtools Post-dedup) reads paired %	(samtools Post-dedup) reads properly paired	(samtools Post-dedup) reads properly paired %	(samtools Post-dedup) reads duplicated	(samtools Post-dedup) reads duplicated %	(samtools Post-dedup) non primary alignments	(samtools Post-dedup) supplementary alignments	(samtools Post-dedup) outward oriented pairs	(samtools Post-dedup) inward oriented pairs	(samtools Post-dedup) insert size average	(samtools Post-dedup) insert size standard deviation	(samtools Post-dedup) bases mapped	(samtools Post-dedup) bases mapped cigar	(samtools Post-dedup) bases trimmed	(samtools Post-dedup) bases duplicated	(ivar_variants) raw inserts	(ivar_variants) raw SNPs	(ivar_variants) raw deletions	(bcftools) number of indels	(bcftools) number of samples	(bcftools) number of SNPs	(bcftools) number of MNPs	(bcftools) number of no-ALTs	(bcftools) number of records	(bcftools) number of others	(bcftools) number of multiallelic sites	(bcftools) number of multiallelic SNP sites	(bcftools) number of transversions	(bcftools) transversion in 1st alternative	(bcftools) number of transitions	(bcftools) transistion in 1st alternative	(bcftools) transistions/transversions ratio	(bcftools) transition/transversion in 1st alternative	(bcftools) substitution T->C	(bcftools) substitution A->C	(bcftools) substitution C->A	(bcftools) substitution G->T	(bcftools) substitution A->T	(bcftools) substitution C->T	(bcftools) substitution T->G	(bcftools) substitution T->A	(bcftools) substitution G->C	(bcftools) substitution C->G	(bcftools) substitution G->A	(bcftools) substitution A->G	(general_stats) mosdepth Mean read depth	(general_stats) mosdepth Min read depth	(general_stats) mosdepth Max read depth	(general_stats) mosdepth Median read depth	(general_stats) mosdepth 1X coverage	(general_stats) mosdepth 5X coverage	(general_stats) mosdepth 10X coverage	(general_stats) mosdepth 50X coverage	(general_stats) mosdepth 100X coverage	(general_stats) mosdepth 200X coverage	(general_stats) mosdepth 500X coverage	(general_stats) mosdepth 750X coverage	(general_stats) mosdepth 1000X coverage	reference_distance	(checkv) warnings	(failed_mapped) mapped reads
LVE00063_cl0_it2	LVE00063	cl0	it2	MK107902:MK107902;	0.989	3286	3410	1749	19	0	85	1833	3358	1610	0.0	1161	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	S	Human,Vertebrate	53.23	OR041684.1	OR041684.1 |Mammarenavirus lassaense isolate G-27645-1-2 nucleoprotein (LASVsSgp1) and glycoprotein (LASVsSgp2) genes, complete cds|	78.736	3286.0	3303.0	2389.0	483.0	20.0	817.0	3195.0	692.0	3065.0	0.0	1574.0	3286.0	No	2.0	2.0	0.0	Low-quality	Genome-fragment	31.04	AAI-based (high-confidence)	0.0	1.02	k141_9	2	83.74	77.02	0.0	NODE_1_length_1860_cov_55.285632,NODE_2_length_1587_cov_61.550685	0.0	0.0	0.0	1157167.0	150.0	33.5	0.001453014	1207.0	0.0	5583.0	72.4124513618677	2127.0	27.587548638132297	0.0	0.0	7710.0	100.0	5492.0	71.23216601815824	0.0	0.0	0.0	475.0	2241.0	505.0	137.1	80.0	854590.0	830687.0	0.0	0.0	3040.0	255.0	2785.0	1946.0	12.0	1.46	3038.0	91.61	1148.0	796349.0	151.0	33.5	0.00143878	1103.0	0.0	5279.0	100.0	0.0	0.0	0.0	0.0	5279.0	100.0	5218.0	98.84447812085622	0.0	0.0	0.0	148.0	2150.0	457.0	135.1	78.6	796349.0	766622.0	0.0	0.0	2.0	23.0	3.0	5.0	1.0	23.0	0.0	0.0	28.0	0.0	0.0	0.0	7.0	7.0	16.0	16.0	2.29	2.29	6.0	0.0	1.0	0.0	0.0	3.0	2.0	2.0	2.0	0.0	4.0	3.0	136.99	10.0	271.0	139.0	100.0	100.0	100.0	94.0	79.0	11.0	0.0	0.0	0.0	LVE00063-7274
LVE00063_cl1_it2	LVE00063	cl1	it2	MK117931:MK117931;	0.949	1363	7234	1362	69	0	1	1362	2427	1066	6.428e-288	881	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	L	Human,Vertebrate	99.93															1363.0	No	1.0	1.0	0.0	Not-determined	Genome-fragment			0.0	1.0	NODE_3_length_1363_cov_12.449838	1	6.6	6.16	0.0	k141_8	63.0	4.7	4695.52	1157167.0	150.0	33.5	0.001002438	74.0	0.0	522.0	6.770428015564202	7188.0	93.2295719844358	0.0	0.0	7710.0	100.0	502.0	6.511024643320364	0.0	0.0	0.0	82.0	217.0	43.0	128.3	85.4	82923.0	73820.0	0.0	0.0	310.0	52.0	258.0	183.0	9.0	1.45	310.0	83.23	98.0	73230.0	155.0	33.5	0.0009101988	59.0	0.0	472.0	100.0	0.0	0.0	0.0	0.0	472.0	100.0	456.0	96.61016949152544	0.0	0.0	0.0	22.0	200.0	34.0	128.4	84.1	73230.0	64821.0	0.0	0.0	0.0	6.0	1.0	1.0	1.0	6.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	28.43	0.0	82.0	26.0	95.0	95.0	95.0	12.0	0.0	0.0	0.0	0.0	0.0	LVE00063-7274
LVE00063_cl1_it2	LVE00063	cl1	it2	MK107902:MK107902;	0.989	3286	3410	1749	19	0	85	1833	3358	1610	0.0	1161	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	S	Human,Vertebrate	53.23	KU978811.1	KU978811.1 |Mammarenavirus lassaense isolate NIGERIA IKEJI segment S hypothetical protein (AVI30_00001) and pre-glycoprotein polyprotein GP complex (GPC) genes, complete cds|S	83.18	3286.0	3424.0	1742.0	291.0	2.0	116.0	1856.0	129.0	1869.0	0.0	1592.0	3286.0	No	2.0	2.0	0.0	Low-quality	Genome-fragment	31.04	AAI-based (high-confidence)	0.0	1.02	k141_9	2	83.74	77.02	0.0	NODE_1_length_1860_cov_55.285632,NODE_2_length_1587_cov_61.550685	0.0	0.0	0.0	1157167.0	150.0	33.5	0.001453014	1207.0	0.0	5583.0	72.4124513618677	2127.0	27.587548638132297	0.0	0.0	7710.0	100.0	5492.0	71.23216601815824	0.0	0.0	0.0	475.0	2241.0	505.0	137.1	80.0	854590.0	830687.0	0.0	0.0	3040.0	255.0	2785.0	1946.0	12.0	1.46	3038.0	91.61	1148.0	796349.0	151.0	33.5	0.00143878	1103.0	0.0	5279.0	100.0	0.0	0.0	0.0	0.0	5279.0	100.0	5218.0	98.84447812085622	0.0	0.0	0.0	148.0	2150.0	457.0	135.1	78.6	796349.0	766622.0	0.0	0.0	2.0	23.0	3.0	5.0	1.0	23.0	0.0	0.0	28.0	0.0	0.0	0.0	7.0	7.0	16.0	16.0	2.29	2.29	6.0	0.0	1.0	0.0	0.0	3.0	2.0	2.0	2.0	0.0	4.0	3.0	136.99	10.0	271.0	139.0	100.0	100.0	100.0	94.0	79.0	11.0	0.0	0.0	0.0	LVE00063-8284
LVE00063_cl2_it2	LVE00063	cl2	it2	MK117931:MK117931;	0.949	1363	7234	1362	69	0	1	1362	2427	1066	6.428e-288	881	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	L	Human,Vertebrate	99.93															1363.0	No	1.0	1.0	0.0	Not-determined	Genome-fragment			0.0	1.0	NODE_3_length_1363_cov_12.449838	1	6.6	6.16	0.0	k141_8	63.0	4.7	4695.52	1157167.0	150.0	33.5	0.001002438	74.0	0.0	522.0	6.770428015564202	7188.0	93.2295719844358	0.0	0.0	7710.0	100.0	502.0	6.511024643320364	0.0	0.0	0.0	82.0	217.0	43.0	128.3	85.4	82923.0	73820.0	0.0	0.0	310.0	52.0	258.0	183.0	9.0	1.45	310.0	83.23	98.0	73230.0	155.0	33.5	0.0009101988	59.0	0.0	472.0	100.0	0.0	0.0	0.0	0.0	472.0	100.0	456.0	96.61016949152544	0.0	0.0	0.0	22.0	200.0	34.0	128.4	84.1	73230.0	64821.0	0.0	0.0	0.0	6.0	1.0	1.0	1.0	6.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	28.43	0.0	82.0	26.0	95.0	95.0	95.0	12.0	0.0	0.0	0.0	0.0	0.0	LVE00063-8284
LVE00063_cl0_it2	LVE00063	cl0	it2	MK107902:MK107902;	0.989	3396	3410	1749	19	0	3356	1608	3358	1610	0.0	1159	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	S	Human,Vertebrate	51.5	MK117996.1	MK117996.1 |Mammarenavirus lassaense isolate LASV/H.sapiens-wt/NGA/2018/IRR_065 glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds|S	97.115	3396.0	3397.0	3397.0	97.0	1.0	1.0	3396.0	1.0	3397.0	0.0	5746.0	3396.0	No	2.0	2.0	0.0	Low-quality	Genome-fragment	32.08	AAI-based (high-confidence)	0.0	1.0	MK117996.1	3	83.74	77.02	0.0	k141_9,NODE_1_length_1860_cov_55.285632,NODE_2_length_1587_cov_61.550685	0.0	0.0	0.0	1157167.0	150.0	33.5	0.001482934	1261.0	0.0	5596.0	72.5810635538262	2114.0	27.4189364461738	0.0	0.0	7710.0	100.0	5506.0	71.41374837872893	0.0	0.0	0.0	561.0	2330.0	423.0	138.7	79.8	855374.0	850341.0	0.0	0.0	3093.0	248.0	2845.0	1989.0	12.0	1.46	3093.0	91.98	1153.0	804188.0	151.0	33.5	0.001482317	1164.0	0.0	5331.0	100.0	0.0	0.0	0.0	0.0	5331.0	100.0	5267.0	98.79947477021196	0.0	0.0	0.0	184.0	2238.0	393.0	136.5	78.3	804188.0	785257.0	0.0	0.0	2.0	25.0	3.0	5.0	1.0	25.0	0.0	0.0	30.0	0.0	0.0	0.0	8.0	8.0	17.0	17.0	2.12	2.12	3.0	2.0	0.0	1.0	3.0	4.0	0.0	0.0	0.0	2.0	4.0	6.0	136.11	12.0	271.0	138.0	100.0	100.0	100.0	96.0	77.0	11.0	0.0	0.0	0.0	LVE00063-9698
LVE00063_cl1_it2	LVE00063	cl1	it2	MK117931:MK117931;	0.949	1363	7234	1362	69	0	1	1362	2427	1066	6.428e-288	881	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	L	Human,Vertebrate	99.93															1363.0	No	1.0	1.0	0.0	Not-determined	Genome-fragment			0.0	1.0	NODE_3_length_1363_cov_12.449838	1	6.6	6.16	0.0	k141_8	63.0	4.7	4695.52	1157167.0	150.0	33.5	0.001002438	74.0	0.0	522.0	6.770428015564202	7188.0	93.2295719844358	0.0	0.0	7710.0	100.0	502.0	6.511024643320364	0.0	0.0	0.0	82.0	217.0	43.0	128.3	85.4	82923.0	73820.0	0.0	0.0	310.0	52.0	258.0	183.0	9.0	1.45	310.0	83.23	98.0	73230.0	155.0	33.5	0.0009101988	59.0	0.0	472.0	100.0	0.0	0.0	0.0	0.0	472.0	100.0	456.0	96.61016949152544	0.0	0.0	0.0	22.0	200.0	34.0	128.4	84.1	73230.0	64821.0	0.0	0.0	0.0	6.0	1.0	1.0	1.0	6.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	28.43	0.0	82.0	26.0	95.0	95.0	95.0	12.0	0.0	0.0	0.0	0.0	0.0	LVE00063-9698
LVE00063_cl0_it2	LVE00063	cl0	it2	MK107902:MK107902;	0.989	3409	3410	1749	19	0	3358	1610	3358	1610	0.0	1159	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	S	Human,Vertebrate	51.31	MK107926.1	MK107926.1 |Mammarenavirus lassaense isolate LASV/H.sapiens-tc/NGA/2016/IRR_027 glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds|S	91.446	3409.0	3410.0	3402.0	290.0	1.0	2.0	3402.0	2.0	3403.0	0.0	4669.0	3409.0	No	2.0	2.0	0.0	Low-quality	Genome-fragment	32.2	AAI-based (high-confidence)	0.0	1.0	MK107926.1	3	83.74	77.02	0.0	k141_9,NODE_1_length_1860_cov_55.285632,NODE_2_length_1587_cov_61.550685	7.0	0.23	234.67	1157167.0	150.0	33.5	0.001482825	1261.0	0.0	5596.0	72.5810635538262	2114.0	27.4189364461738	0.0	0.0	7710.0	100.0	5506.0	71.41374837872893	0.0	0.0	0.0	561.0	2330.0	423.0	138.7	79.8	855374.0	850404.0	0.0	0.0	3093.0	248.0	2845.0	1989.0	12.0	1.46	3093.0	91.98	1153.0	804188.0	151.0	33.5	0.001482198	1164.0	0.0	5331.0	100.0	0.0	0.0	0.0	0.0	5331.0	100.0	5267.0	98.79947477021196	0.0	0.0	0.0	184.0	2238.0	393.0	136.5	78.3	804188.0	785320.0	0.0	0.0	2.0	25.0	3.0	5.0	1.0	25.0	0.0	0.0	30.0	0.0	0.0	0.0	8.0	8.0	17.0	17.0	2.12	2.12	3.0	2.0	0.0	1.0	3.0	4.0	0.0	0.0	0.0	2.0	4.0	6.0	135.61	0.0	271.0	138.0	100.0	100.0	100.0	95.0	77.0	11.0	0.0	0.0	0.0	LVE00063-9092
LVE00063_cl1_it2	LVE00063	cl1	it2	MK117931:MK117931;	0.949	1363	7234	1362	69	0	1	1362	2427	1066	6.428e-288	881	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	L	Human,Vertebrate	99.93															1363.0	No	1.0	1.0	0.0	Not-determined	Genome-fragment			0.0	1.0	NODE_3_length_1363_cov_12.449838	1	6.6	6.16	0.0	k141_8	63.0	4.7	4695.52	1157167.0	150.0	33.5	0.001002438	74.0	0.0	522.0	6.770428015564202	7188.0	93.2295719844358	0.0	0.0	7710.0	100.0	502.0	6.511024643320364	0.0	0.0	0.0	82.0	217.0	43.0	128.3	85.4	82923.0	73820.0	0.0	0.0	310.0	52.0	258.0	183.0	9.0	1.45	310.0	83.23	98.0	73230.0	155.0	33.5	0.0009101988	59.0	0.0	472.0	100.0	0.0	0.0	0.0	0.0	472.0	100.0	456.0	96.61016949152544	0.0	0.0	0.0	22.0	200.0	34.0	128.4	84.1	73230.0	64821.0	0.0	0.0	0.0	6.0	1.0	1.0	1.0	6.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	28.43	0.0	82.0	26.0	95.0	95.0	95.0	12.0	0.0	0.0	0.0	0.0	0.0	LVE00063-9092
LVE00063_cl0_it2	LVE00063	cl0	it2	MK107902:MK107902;	0.989	3286	3410	1749	19	0	85	1833	3358	1610	0.0	1161	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	S	Human,Vertebrate	53.23	OR493500.1	OR493500.1 |UNVERIFIED: Mammarenavirus lassaense strain OWEHDOG007OS genomic sequence|	85.843	3286.0	2979.0	1335.0	189.0	0.0	1936.0	3270.0	1338.0	4.0	0.0	1419.0	3286.0	No	2.0	2.0	0.0	Low-quality	Genome-fragment	31.04	AAI-based (high-confidence)	0.0	1.02	k141_9	2	83.74	77.02	0.0	NODE_1_length_1860_cov_55.285632,NODE_2_length_1587_cov_61.550685	0.0	0.0	0.0	1157167.0	150.0	33.5	0.001453014	1207.0	0.0	5583.0	72.4124513618677	2127.0	27.587548638132297	0.0	0.0	7710.0	100.0	5492.0	71.23216601815824	0.0	0.0	0.0	475.0	2241.0	505.0	137.1	80.0	854590.0	830687.0	0.0	0.0	3040.0	255.0	2785.0	1946.0	12.0	1.46	3038.0	91.61	1148.0	796349.0	151.0	33.5	0.00143878	1103.0	0.0	5279.0	100.0	0.0	0.0	0.0	0.0	5279.0	100.0	5218.0	98.84447812085622	0.0	0.0	0.0	148.0	2150.0	457.0	135.1	78.6	796349.0	766622.0	0.0	0.0	2.0	23.0	3.0	5.0	1.0	23.0	0.0	0.0	28.0	0.0	0.0	0.0	7.0	7.0	16.0	16.0	2.29	2.29	6.0	0.0	1.0	0.0	0.0	3.0	2.0	2.0	2.0	0.0	4.0	3.0	136.99	10.0	271.0	139.0	100.0	100.0	100.0	94.0	79.0	11.0	0.0	0.0	0.0	LVE00063-7072
LVE00063_cl2_it2	LVE00063	cl2	it2	MK117931:MK117931;	0.949	1363	7234	1362	69	0	1	1362	2427	1066	6.428e-288	881	Lassa mammarenavirus	SPECIES	unknown	Lassa mammarenavirus	11620	LASV	RNA	N	L	Human,Vertebrate	99.93															1363.0	No	1.0	1.0	0.0	Not-determined	Genome-fragment			0.0	1.0	NODE_3_length_1363_cov_12.449838	1	6.6	6.16	0.0	k141_8	63.0	4.7	4695.52	1157167.0	150.0	33.5	0.001002438	74.0	0.0	522.0	6.770428015564202	7188.0	93.2295719844358	0.0	0.0	7710.0	100.0	502.0	6.511024643320364	0.0	0.0	0.0	82.0	217.0	43.0	128.3	85.4	82923.0	73820.0	0.0	0.0	310.0	52.0	258.0	183.0	9.0	1.45	310.0	83.23	98.0	73230.0	155.0	33.5	0.0009101988	59.0	0.0	472.0	100.0	0.0	0.0	0.0	0.0	472.0	100.0	456.0	96.61016949152544	0.0	0.0	0.0	22.0	200.0	34.0	128.4	84.1	73230.0	64821.0	0.0	0.0	0.0	6.0	1.0	1.0	1.0	6.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	28.43	0.0	82.0	26.0	95.0	95.0	95.0	12.0	0.0	0.0	0.0	0.0	0.0	LVE00063-7072
